Instrument.Name,Code,Expansion,PatientSeverity,ControlSeverity,LISUpload,Report
Advia2400_5,A,A,1,1,yes,yes
Advia2400_5,b,b,1,1,yes,yes
Advia2400_5,F,F,1,1,yes,yes
Advia2400_5,G,G,1,1,yes,yes
Advia2400_5,K,K,5,5,yes,yes
Advia2400_5,k,k,1,1,yes,yes
Advia2400_5,j,j,1,1,yes,yes
Advia2400_5,M,M,1,1,yes,yes
Advia2400_5,Q,Q,1,1,yes,yes
Advia2400_6,A,A,1,1,yes,yes
Advia2400_6,b,b,1,1,yes,yes
Advia2400_6,F,F,1,1,yes,yes
Advia2400_6,G,G,1,1,yes,yes
Advia2400_6,k,k,1,1,yes,yes
Advia2400_6,K,K,5,5,yes,yes
Advia2400_6,j,j,1,1,yes,yes
Advia2400_6,M,M,1,1,yes,yes
Advia2400_6,Q,Q,1,1,yes,yes
